id,source_id,task,pathogen,entity_type,phage_names,host_species,host_strain,assay_type,activity_score,active_binary,enhanced_vs_best_single,resistance_or_rebound,biofilm_reduction,antibiotic_synergy,feature_receptor,feature_lps_sugar,feature_family,feature_genus,feature_lifestyle,feature_morphotype,feature_genetic_diversity,feature_receptor_diversity,feature_cocktail_size,evidence
lbnl_eop_452b287c2d0e6c,lbnl_phage_foundry,host_range,E_coli,phage,Bas08,Escherichia coli,ΔgalU,EOP,-0.918884254,true,,,,,TolC,HepII,Drexlerviridae,Tlsvirus,virulent,Siphovirus,,,,Direct EOP row: phage=Bas08; genotype=ΔgalU; EOP=-0.918884254.
lbnl_eop_3081ba0c85a0ab,lbnl_phage_foundry,host_range,E_coli,phage,Bas38,Escherichia coli,ΔgalU,EOP,-4.753318981,false,,,,,OmpF,HepI,Straboviridae,Tequatrovirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas38; genotype=ΔgalU; EOP=-4.753318981.
lbnl_eop_c64119b5e50ef8,lbnl_phage_foundry,host_range,E_coli,phage,Bas46,Escherichia coli,ΔgalU,EOP,-1.157123419,true,,,,,OmpF,HepI,Straboviridae,Mosigvirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas46; genotype=ΔgalU; EOP=-1.157123419.
lbnl_eop_cf2572e43ff672,lbnl_phage_foundry,host_range,E_coli,phage,Bas47,Escherichia coli,ΔgalU,EOP,-0.865301426,true,,,,,OmpF,HepI,Straboviridae,Mosigvirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas47; genotype=ΔgalU; EOP=-0.865301426.
lbnl_eop_5351a8d43edf05,lbnl_phage_foundry,host_range,E_coli,phage,Bas48,Escherichia coli,ΔgalU,EOP,-10.24303805,false,,,,,NGR,GluI,,Vequintavirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas48; genotype=ΔgalU; EOP=-10.24303805.
lbnl_eop_054ee70f9843b0,lbnl_phage_foundry,host_range,E_coli,phage,Bas50,Escherichia coli,ΔgalU,EOP,-3.614648608,false,,,,,NGR,GluI,,Vequintavirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas50; genotype=ΔgalU; EOP=-3.614648608.
lbnl_eop_d96b5514aded7c,lbnl_phage_foundry,host_range,E_coli,phage,Bas51,Escherichia coli,ΔgalU,EOP,-1.212088912,true,,,,,NGR,GluI,,Vequintavirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas51; genotype=ΔgalU; EOP=-1.212088912.
lbnl_eop_d99498677659de,lbnl_phage_foundry,host_range,E_coli,phage,Bas52,Escherichia coli,ΔgalU,EOP,-4.045757201,false,,,,,NGR,GluI,,Vequintavirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas52; genotype=ΔgalU; EOP=-4.045757201.
lbnl_eop_227ca8429e4d89,lbnl_phage_foundry,host_range,E_coli,phage,Bas55,Escherichia coli,ΔgalU,EOP,-0.896459408,true,,,,,NGR,GluI,,Vequintavirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas55; genotype=ΔgalU; EOP=-0.896459408.
lbnl_eop_bf90d6d218acb8,lbnl_phage_foundry,host_range,E_coli,phage,Bas58,Escherichia coli,ΔgalU,EOP,-4.951936073,false,,,,,NGR,GluI,,Vequintavirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas58; genotype=ΔgalU; EOP=-4.951936073.
lbnl_eop_b815b15ed1f79e,lbnl_phage_foundry,host_range,E_coli,phage,Bas60,Escherichia coli,ΔgalU,EOP,-10.33243846,false,,,,,NGR,GluI,,Justusliebigvirus,virulent,Myovirus,,,,Direct EOP row: phage=Bas60; genotype=ΔgalU; EOP=-10.33243846.
