row_id,source_id,pathogen,phage_names,time_h,score,enhanced_vs_best_single,resistance_or_rebound,activity_score,evidence
upec_cocktail_ab259fa4ce1b96,upec_uti89_rapid_cocktail,E_coli,SR02;SR04,16,0.9387,true,false,0.92,"all three phages exhibited the best outcome, entirely suppressing bacterial growth throughout the experimental period (Fig. c; purple line). Intriguingly, the combination of SR02 and SR04 displayed the same pattern of bacterial suppression as the combination of all three phages, suggesting that Zappy does not play a significant role in bacterial killing or minimizing phage resistance when SR02 and SR04 are present (Fig. c; red line). This observation was further confirmed when Zappy was combined with either SR02 o"
upec_cocktail_eced4e4d7bdd28,upec_uti89_rapid_cocktail,E_coli,SR02;SR04;Zappy,16,0.9387,true,false,0.92,"all three phages exhibited the best outcome, entirely suppressing bacterial growth throughout the experimental period (Fig. c; purple line). Intriguingly, the combination of SR02 and SR04 displayed the same pattern of bacterial suppression as the combination of all three phages, suggesting that Zappy does not play a significant role in bacterial killing or minimizing phage resistance when SR02 and SR04 are present (Fig. c; red line). This observation was further confirmed when Zappy was combined with either SR02 o"
pseudo_cocktail_83810429b8051e,pseudomonas_genetically_diverse_cocktails,P_aeruginosa,SPA05;PhiKZ,24,0.9177,true,false,0.86,"time points were significantly reduced when compared to the small phage cocktail. Furthermore, adding the giant phages, particularly PhiKZ, to the combination completely suppressed the bacterial regrowth, resulting in a comparable bacterial number at 48 h to 24 h, except for the cocktail SPA05-PhiPA3 (Fig. D). The revival frequency of P. aeruginosa PAO1 treated with each phage cocktail was then investigated to evaluate the durability of phage therapy. The results showed that the frequency of revival developed in t"
pseudo_cocktail_6e2695a9aca45d,pseudomonas_genetically_diverse_cocktails,P_aeruginosa,SPA05;PhiKZ,48,0.9177,true,false,0.86,"time points were significantly reduced when compared to the small phage cocktail. Furthermore, adding the giant phages, particularly PhiKZ, to the combination completely suppressed the bacterial regrowth, resulting in a comparable bacterial number at 48 h to 24 h, except for the cocktail SPA05-PhiPA3 (Fig. D). The revival frequency of P. aeruginosa PAO1 treated with each phage cocktail was then investigated to evaluate the durability of phage therapy. The results showed that the frequency of revival developed in t"
pseudo_cocktail_1d6634f81caf5a,pseudomonas_genetically_diverse_cocktails,P_aeruginosa,SPA01;PhiKZ,24,0.9142,true,false,0.85,"time points were significantly reduced when compared to the small phage cocktail. Furthermore, adding the giant phages, particularly PhiKZ, to the combination completely suppressed the bacterial regrowth, resulting in a comparable bacterial number at 48 h to 24 h, except for the cocktail SPA05-PhiPA3 (Fig. D). The revival frequency of P. aeruginosa PAO1 treated with each phage cocktail was then investigated to evaluate the durability of phage therapy. The results showed that the frequency of revival developed in t"
pseudo_cocktail_88036a226eba50,pseudomonas_genetically_diverse_cocktails,P_aeruginosa,SPA01;PhiKZ,48,0.9142,true,false,0.85,"time points were significantly reduced when compared to the small phage cocktail. Furthermore, adding the giant phages, particularly PhiKZ, to the combination completely suppressed the bacterial regrowth, resulting in a comparable bacterial number at 48 h to 24 h, except for the cocktail SPA05-PhiPA3 (Fig. D). The revival frequency of P. aeruginosa PAO1 treated with each phage cocktail was then investigated to evaluate the durability of phage therapy. The results showed that the frequency of revival developed in t"
pseudo_cocktail_9e64f1455e4d23,pseudomonas_genetically_diverse_cocktails,P_aeruginosa,PhiKZ;PhiPA3,24,0.9037,true,false,0.82,". aeruginosa PAO1, suggesting medium to high production of giant phages in the resistant isolates ( C ). Survival P. aeruginosa PAO1 (CFU/ml) at 24 and 48 h in six different formulas of phage cocktails: (1) SPA01-SPA05, (2) SPA01-PhiKZ, (3) SPA01-PhiPA3, (4) SPA05-PhiKZ, (5) SPA05-PhiPA3, and (6) PhiKZ-PhiPA3 ( D ). The revival frequency of P. aeruginosa PAO1 at 24 and 48 h in six different formulas of phage cocktails ( E) . The data shown in ( A-E ) represent the mean ± standard deviation of at least triplicates."
pseudo_cocktail_0daf92ad306966,pseudomonas_genetically_diverse_cocktails,P_aeruginosa,PhiKZ;PhiPA3,48,0.9037,true,false,0.82,". aeruginosa PAO1, suggesting medium to high production of giant phages in the resistant isolates ( C ). Survival P. aeruginosa PAO1 (CFU/ml) at 24 and 48 h in six different formulas of phage cocktails: (1) SPA01-SPA05, (2) SPA01-PhiKZ, (3) SPA01-PhiPA3, (4) SPA05-PhiKZ, (5) SPA05-PhiPA3, and (6) PhiKZ-PhiPA3 ( D ). The revival frequency of P. aeruginosa PAO1 at 24 and 48 h in six different formulas of phage cocktails ( E) . The data shown in ( A-E ) represent the mean ± standard deviation of at least triplicates."
pseudo_cocktail_b4d732698015eb,pseudomonas_genetically_diverse_cocktails,P_aeruginosa,SPA01;PhiPA3,24,0.8897,true,false,0.78,"time points were significantly reduced when compared to the small phage cocktail. Furthermore, adding the giant phages, particularly PhiKZ, to the combination completely suppressed the bacterial regrowth, resulting in a comparable bacterial number at 48 h to 24 h, except for the cocktail SPA05-PhiPA3 (Fig. D). The revival frequency of P. aeruginosa PAO1 treated with each phage cocktail was then investigated to evaluate the durability of phage therapy. The results showed that the frequency of revival developed in t"
pseudo_cocktail_2105352f26817a,pseudomonas_genetically_diverse_cocktails,P_aeruginosa,SPA01;PhiPA3,48,0.8827,true,false,0.76,"time points were significantly reduced when compared to the small phage cocktail. Furthermore, adding the giant phages, particularly PhiKZ, to the combination completely suppressed the bacterial regrowth, resulting in a comparable bacterial number at 48 h to 24 h, except for the cocktail SPA05-PhiPA3 (Fig. D). The revival frequency of P. aeruginosa PAO1 treated with each phage cocktail was then investigated to evaluate the durability of phage therapy. The results showed that the frequency of revival developed in t"
